game,date,home_team,home_team_score,away_team,away_team_score,year,series_id,game_winner_column,game_winning_team,best_of_five_winner,best_of_seven_winner,best_of_seven_loser,series_too_long
Game 2,"Mon, April 19",Chicago Bulls,102,Cleveland Cavaliers,112,2010,ChicagoBulls_ClevelandCavaliers_2010,away_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,True
Game 3,"Thu, April 22",Cleveland Cavaliers,106,Chicago Bulls,108,2010,ChicagoBulls_ClevelandCavaliers_2010,away_team,Chicago Bulls,Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,True
Game 4,"Sun, April 25",Cleveland Cavaliers,121,Chicago Bulls,98,2010,ChicagoBulls_ClevelandCavaliers_2010,home_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,True
Game 5,"Tue, April 27",Chicago Bulls,94,Cleveland Cavaliers,96,2010,ChicagoBulls_ClevelandCavaliers_2010,away_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,True
Game 1,"Sun, April 18",Charlotte Bobcats,89,Orlando Magic,98,2010,CharlotteBobcats_OrlandoMagic_2010,away_team,Orlando Magic,Orlando Magic,Orlando Magic,Orlando Magic,True
Game 2,"Wed, April 21",Charlotte Bobcats,77,Orlando Magic,92,2010,CharlotteBobcats_OrlandoMagic_2010,away_team,Orlando Magic,Orlando Magic,Orlando Magic,Orlando Magic,True
Game 3,"Sat, April 24",Orlando Magic,90,Charlotte Bobcats,86,2010,CharlotteBobcats_OrlandoMagic_2010,home_team,Orlando Magic,Orlando Magic,Orlando Magic,Orlando Magic,True
Game 4,"Mon, April 26",Orlando Magic,99,Charlotte Bobcats,90,2010,CharlotteBobcats_OrlandoMagic_2010,home_team,Orlando Magic,Orlando Magic,Orlando Magic,Orlando Magic,True
Game 1,"Sun, April 18",Oklahoma City Thunder,79,Los Angeles Lakers,87,2010,OklahomaCityThunder_LosAngelesLakers_2010,away_team,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,True
Game 2,"Tue, April 20",Oklahoma City Thunder,92,Los Angeles Lakers,95,2010,OklahomaCityThunder_LosAngelesLakers_2010,away_team,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,True
Game 3,"Thu, April 22",Los Angeles Lakers,96,Oklahoma City Thunder,101,2010,OklahomaCityThunder_LosAngelesLakers_2010,away_team,Oklahoma City Thunder,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,True
Game 4,"Sat, April 24",Los Angeles Lakers,89,Oklahoma City Thunder,110,2010,OklahomaCityThunder_LosAngelesLakers_2010,away_team,Oklahoma City Thunder,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,True
Game 5,"Tue, April 27",Oklahoma City Thunder,87,Los Angeles Lakers,111,2010,OklahomaCityThunder_LosAngelesLakers_2010,away_team,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,True
Game 6,"Fri, April 30",Los Angeles Lakers,95,Oklahoma City Thunder,94,2010,OklahomaCityThunder_LosAngelesLakers_2010,home_team,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,True
Game 1,"Sun, April 18",Portland Trail Blazers,105,Phoenix Suns,100,2010,PortlandTrailBlazers_PhoenixSuns_2010,home_team,Portland Trail Blazers,Phoenix Suns,Phoenix Suns,Portland Trail Blazers,True
Game 2,"Tue, April 20",Portland Trail Blazers,90,Phoenix Suns,119,2010,PortlandTrailBlazers_PhoenixSuns_2010,away_team,Phoenix Suns,Phoenix Suns,Phoenix Suns,Portland Trail Blazers,True
Game 3,"Thu, April 22",Phoenix Suns,108,Portland Trail Blazers,89,2010,PortlandTrailBlazers_PhoenixSuns_2010,home_team,Phoenix Suns,Phoenix Suns,Phoenix Suns,Portland Trail Blazers,True
Game 4,"Sat, April 24",Phoenix Suns,87,Portland Trail Blazers,96,2010,PortlandTrailBlazers_PhoenixSuns_2010,away_team,Portland Trail Blazers,Phoenix Suns,Phoenix Suns,Portland Trail Blazers,True
Game 5,"Mon, April 26",Portland Trail Blazers,88,Phoenix Suns,107,2010,PortlandTrailBlazers_PhoenixSuns_2010,away_team,Phoenix Suns,Phoenix Suns,Phoenix Suns,Portland Trail Blazers,True
Game 6,"Thu, April 29",Phoenix Suns,99,Portland Trail Blazers,90,2010,PortlandTrailBlazers_PhoenixSuns_2010,home_team,Phoenix Suns,Phoenix Suns,Phoenix Suns,Portland Trail Blazers,True
Game 1,"Sun, April 18",San Antonio Spurs,94,Dallas Mavericks,100,2010,SanAntonioSpurs_DallasMavericks_2010,away_team,Dallas Mavericks,San Antonio Spurs,San Antonio Spurs,Dallas Mavericks,True
Game 2,"Wed, April 21",San Antonio Spurs,102,Dallas Mavericks,88,2010,SanAntonioSpurs_DallasMavericks_2010,home_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,Dallas Mavericks,True
Game 3,"Fri, April 23",Dallas Mavericks,90,San Antonio Spurs,94,2010,SanAntonioSpurs_DallasMavericks_2010,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,Dallas Mavericks,True
Game 4,"Sun, April 25",Dallas Mavericks,89,San Antonio Spurs,92,2010,SanAntonioSpurs_DallasMavericks_2010,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,Dallas Mavericks,True
Game 5,"Tue, April 27",San Antonio Spurs,81,Dallas Mavericks,103,2010,SanAntonioSpurs_DallasMavericks_2010,away_team,Dallas Mavericks,San Antonio Spurs,San Antonio Spurs,Dallas Mavericks,True
Game 6,"Thu, April 29",Dallas Mavericks,87,San Antonio Spurs,97,2010,SanAntonioSpurs_DallasMavericks_2010,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,Dallas Mavericks,True
Game 1,"Sat, April 17",Utah Jazz,113,Denver Nuggets,126,2010,UtahJazz_DenverNuggets_2010,away_team,Denver Nuggets,Utah Jazz,Utah Jazz,Denver Nuggets,True
Game 2,"Mon, April 19",Utah Jazz,114,Denver Nuggets,111,2010,UtahJazz_DenverNuggets_2010,home_team,Utah Jazz,Utah Jazz,Utah Jazz,Denver Nuggets,True
Game 3,"Fri, April 23",Denver Nuggets,93,Utah Jazz,105,2010,UtahJazz_DenverNuggets_2010,away_team,Utah Jazz,Utah Jazz,Utah Jazz,Denver Nuggets,True
Game 4,"Sun, April 25",Denver Nuggets,106,Utah Jazz,117,2010,UtahJazz_DenverNuggets_2010,away_team,Utah Jazz,Utah Jazz,Utah Jazz,Denver Nuggets,True
Game 5,"Wed, April 28",Utah Jazz,102,Denver Nuggets,116,2010,UtahJazz_DenverNuggets_2010,away_team,Denver Nuggets,Utah Jazz,Utah Jazz,Denver Nuggets,True
Game 6,"Fri, April 30",Denver Nuggets,104,Utah Jazz,112,2010,UtahJazz_DenverNuggets_2010,away_team,Utah Jazz,Utah Jazz,Utah Jazz,Denver Nuggets,True
Game 1,"Sat, April 16",Atlanta Hawks,103,Orlando Magic,93,2011,AtlantaHawks_OrlandoMagic_2011,home_team,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,Orlando Magic,True
Game 2,"Tue, April 19",Atlanta Hawks,82,Orlando Magic,88,2011,AtlantaHawks_OrlandoMagic_2011,away_team,Orlando Magic,Atlanta Hawks,Atlanta Hawks,Orlando Magic,True
Game 3,"Fri, April 22",Orlando Magic,84,Atlanta Hawks,88,2011,AtlantaHawks_OrlandoMagic_2011,away_team,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,Orlando Magic,True
Game 4,"Sun, April 24",Orlando Magic,85,Atlanta Hawks,88,2011,AtlantaHawks_OrlandoMagic_2011,away_team,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,Orlando Magic,True
Game 5,"Tue, April 26",Atlanta Hawks,76,Orlando Magic,101,2011,AtlantaHawks_OrlandoMagic_2011,away_team,Orlando Magic,Atlanta Hawks,Atlanta Hawks,Orlando Magic,True
Game 6,"Thu, April 28",Orlando Magic,81,Atlanta Hawks,84,2011,AtlantaHawks_OrlandoMagic_2011,away_team,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,Orlando Magic,True
Game 1,"Sun, April 17",New York Knicks,85,Boston Celtics,87,2011,NewYorkKnicks_BostonCeltics_2011,away_team,Boston Celtics,Boston Celtics,Boston Celtics,Boston Celtics,True
Game 2,"Tue, April 19",New York Knicks,93,Boston Celtics,96,2011,NewYorkKnicks_BostonCeltics_2011,away_team,Boston Celtics,Boston Celtics,Boston Celtics,Boston Celtics,True
Game 3,"Fri, April 22",Boston Celtics,113,New York Knicks,96,2011,NewYorkKnicks_BostonCeltics_2011,home_team,Boston Celtics,Boston Celtics,Boston Celtics,Boston Celtics,True
Game 4,"Sun, April 24",Boston Celtics,101,New York Knicks,89,2011,NewYorkKnicks_BostonCeltics_2011,home_team,Boston Celtics,Boston Celtics,Boston Celtics,Boston Celtics,True
Game 1,"Sat, April 16",Indiana Pacers,99,Chicago Bulls,104,2011,IndianaPacers_ChicagoBulls_2011,away_team,Chicago Bulls,Chicago Bulls,Chicago Bulls,Indiana Pacers,True
Game 2,"Mon, April 18",Indiana Pacers,90,Chicago Bulls,96,2011,IndianaPacers_ChicagoBulls_2011,away_team,Chicago Bulls,Chicago Bulls,Chicago Bulls,Indiana Pacers,True
Game 3,"Thu, April 21",Chicago Bulls,88,Indiana Pacers,84,2011,IndianaPacers_ChicagoBulls_2011,home_team,Chicago Bulls,Chicago Bulls,Chicago Bulls,Indiana Pacers,True
Game 4,"Sat, April 23",Chicago Bulls,84,Indiana Pacers,89,2011,IndianaPacers_ChicagoBulls_2011,away_team,Indiana Pacers,Chicago Bulls,Chicago Bulls,Indiana Pacers,True
Game 5,"Tue, April 26",Indiana Pacers,89,Chicago Bulls,116,2011,IndianaPacers_ChicagoBulls_2011,away_team,Chicago Bulls,Chicago Bulls,Chicago Bulls,Indiana Pacers,True
Game 1,"Sat, April 16",Philadelphia 76ers,89,Miami Heat,97,2011,Philadelphia76ers_MiamiHeat_2011,away_team,Miami Heat,Miami Heat,Miami Heat,Philadelphia 76ers,True
Game 2,"Mon, April 18",Philadelphia 76ers,73,Miami Heat,94,2011,Philadelphia76ers_MiamiHeat_2011,away_team,Miami Heat,Miami Heat,Miami Heat,Philadelphia 76ers,True
Game 3,"Thu, April 21",Miami Heat,100,Philadelphia 76ers,94,2011,Philadelphia76ers_MiamiHeat_2011,home_team,Miami Heat,Miami Heat,Miami Heat,Philadelphia 76ers,True
Game 4,"Sun, April 24",Miami Heat,82,Philadelphia 76ers,86,2011,Philadelphia76ers_MiamiHeat_2011,away_team,Philadelphia 76ers,Miami Heat,Miami Heat,Philadelphia 76ers,True
Game 5,"Wed, April 27",Philadelphia 76ers,91,Miami Heat,97,2011,Philadelphia76ers_MiamiHeat_2011,away_team,Miami Heat,Miami Heat,Miami Heat,Philadelphia 76ers,True
Game 1,"Sat, April 16",Portland Trail Blazers,81,Dallas Mavericks,89,2011,PortlandTrailBlazers_DallasMavericks_2011,away_team,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,Portland Trail Blazers,True
Game 2,"Tue, April 19",Portland Trail Blazers,89,Dallas Mavericks,101,2011,PortlandTrailBlazers_DallasMavericks_2011,away_team,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,Portland Trail Blazers,True
Game 3,"Thu, April 21",Dallas Mavericks,92,Portland Trail Blazers,97,2011,PortlandTrailBlazers_DallasMavericks_2011,away_team,Portland Trail Blazers,Dallas Mavericks,Dallas Mavericks,Portland Trail Blazers,True
Game 4,"Sat, April 23",Dallas Mavericks,82,Portland Trail Blazers,84,2011,PortlandTrailBlazers_DallasMavericks_2011,away_team,Portland Trail Blazers,Dallas Mavericks,Dallas Mavericks,Portland Trail Blazers,True
Game 5,"Mon, April 25",Portland Trail Blazers,82,Dallas Mavericks,93,2011,PortlandTrailBlazers_DallasMavericks_2011,away_team,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,Portland Trail Blazers,True
Game 6,"Thu, April 28",Dallas Mavericks,103,Portland Trail Blazers,96,2011,PortlandTrailBlazers_DallasMavericks_2011,home_team,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,Portland Trail Blazers,True
Game 1,"Sun, April 17",New Orleans Hornets,109,Los Angeles Lakers,100,2011,NewOrleansHornets_LosAngelesLakers_2011,home_team,New Orleans Hornets,Los Angeles Lakers,Los Angeles Lakers,New Orleans Hornets,True
Game 2,"Wed, April 20",New Orleans Hornets,78,Los Angeles Lakers,87,2011,NewOrleansHornets_LosAngelesLakers_2011,away_team,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,New Orleans Hornets,True
Game 3,"Fri, April 22",Los Angeles Lakers,100,New Orleans Hornets,86,2011,NewOrleansHornets_LosAngelesLakers_2011,home_team,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,New Orleans Hornets,True
Game 4,"Sun, April 24",Los Angeles Lakers,88,New Orleans Hornets,93,2011,NewOrleansHornets_LosAngelesLakers_2011,away_team,New Orleans Hornets,Los Angeles Lakers,Los Angeles Lakers,New Orleans Hornets,True
Game 5,"Tue, April 26",New Orleans Hornets,90,Los Angeles Lakers,106,2011,NewOrleansHornets_LosAngelesLakers_2011,away_team,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,New Orleans Hornets,True
Game 6,"Thu, April 28",Los Angeles Lakers,98,New Orleans Hornets,80,2011,NewOrleansHornets_LosAngelesLakers_2011,home_team,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,New Orleans Hornets,True
Game 1,"Sun, April 17",Memphis Grizzlies,101,San Antonio Spurs,98,2011,MemphisGrizzlies_SanAntonioSpurs_2011,home_team,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,San Antonio Spurs,True
Game 2,"Wed, April 20",Memphis Grizzlies,87,San Antonio Spurs,93,2011,MemphisGrizzlies_SanAntonioSpurs_2011,away_team,San Antonio Spurs,Memphis Grizzlies,Memphis Grizzlies,San Antonio Spurs,True
Game 3,"Sat, April 23",San Antonio Spurs,88,Memphis Grizzlies,91,2011,MemphisGrizzlies_SanAntonioSpurs_2011,away_team,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,San Antonio Spurs,True
Game 4,"Mon, April 25",San Antonio Spurs,86,Memphis Grizzlies,104,2011,MemphisGrizzlies_SanAntonioSpurs_2011,away_team,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,San Antonio Spurs,True
Game 5,"Wed, April 27",Memphis Grizzlies,103,San Antonio Spurs,110,2011,MemphisGrizzlies_SanAntonioSpurs_2011,away_team,San Antonio Spurs,Memphis Grizzlies,Memphis Grizzlies,San Antonio Spurs,True
Game 6,"Fri, April 29",San Antonio Spurs,91,Memphis Grizzlies,99,2011,MemphisGrizzlies_SanAntonioSpurs_2011,away_team,Memphis Grizzlies,Memphis Grizzlies,Memphis Grizzlies,San Antonio Spurs,True
Game 1,"Sun, April 17",Denver Nuggets,103,Oklahoma City Thunder,107,2011,DenverNuggets_OklahomaCityThunder_2011,away_team,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,Denver Nuggets,True
Game 2,"Wed, April 20",Denver Nuggets,89,Oklahoma City Thunder,106,2011,DenverNuggets_OklahomaCityThunder_2011,away_team,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,Denver Nuggets,True
Game 3,"Sat, April 23",Oklahoma City Thunder,97,Denver Nuggets,94,2011,DenverNuggets_OklahomaCityThunder_2011,home_team,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,Denver Nuggets,True
Game 4,"Mon, April 25",Oklahoma City Thunder,101,Denver Nuggets,104,2011,DenverNuggets_OklahomaCityThunder_2011,away_team,Denver Nuggets,Oklahoma City Thunder,Oklahoma City Thunder,Denver Nuggets,True
Game 5,"Wed, April 27",Denver Nuggets,97,Oklahoma City Thunder,100,2011,DenverNuggets_OklahomaCityThunder_2011,away_team,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,Denver Nuggets,True
Game 1,"Sun, April 29",Boston Celtics,74,Atlanta Hawks,83,2012,BostonCeltics_AtlantaHawks_2012,away_team,Atlanta Hawks,Boston Celtics,Boston Celtics,Atlanta Hawks,True
Game 2,"Tue, May 1",Boston Celtics,87,Atlanta Hawks,80,2012,BostonCeltics_AtlantaHawks_2012,home_team,Boston Celtics,Boston Celtics,Boston Celtics,Atlanta Hawks,True
Game 3,"Fri, May 4",Atlanta Hawks,84,Boston Celtics,90,2012,BostonCeltics_AtlantaHawks_2012,away_team,Boston Celtics,Boston Celtics,Boston Celtics,Atlanta Hawks,True
Game 4,"Sun, May 6",Atlanta Hawks,79,Boston Celtics,101,2012,BostonCeltics_AtlantaHawks_2012,away_team,Boston Celtics,Boston Celtics,Boston Celtics,Atlanta Hawks,True
Game 5,"Tue, May 8",Boston Celtics,86,Atlanta Hawks,87,2012,BostonCeltics_AtlantaHawks_2012,away_team,Atlanta Hawks,Boston Celtics,Boston Celtics,Atlanta Hawks,True
Game 6,"Thu, May 10",Atlanta Hawks,80,Boston Celtics,83,2012,BostonCeltics_AtlantaHawks_2012,away_team,Boston Celtics,Boston Celtics,Boston Celtics,Atlanta Hawks,True
Game 1,"Sat, April 28",Orlando Magic,81,Indiana Pacers,77,2012,OrlandoMagic_IndianaPacers_2012,home_team,Orlando Magic,Indiana Pacers,Indiana Pacers,Orlando Magic,True
Game 2,"Mon, April 30",Orlando Magic,78,Indiana Pacers,93,2012,OrlandoMagic_IndianaPacers_2012,away_team,Indiana Pacers,Indiana Pacers,Indiana Pacers,Orlando Magic,True
Game 3,"Wed, May 2",Indiana Pacers,97,Orlando Magic,74,2012,OrlandoMagic_IndianaPacers_2012,home_team,Indiana Pacers,Indiana Pacers,Indiana Pacers,Orlando Magic,True
Game 4,"Sat, May 5",Indiana Pacers,101,Orlando Magic,99,2012,OrlandoMagic_IndianaPacers_2012,home_team,Indiana Pacers,Indiana Pacers,Indiana Pacers,Orlando Magic,True
Game 5,"Tue, May 8",Orlando Magic,87,Indiana Pacers,105,2012,OrlandoMagic_IndianaPacers_2012,away_team,Indiana Pacers,Indiana Pacers,Indiana Pacers,Orlando Magic,True
Game 1,"Sat, April 28",New York Knicks,67,Miami Heat,100,2012,NewYorkKnicks_MiamiHeat_2012,away_team,Miami Heat,Miami Heat,Miami Heat,New York Knicks,True
Game 2,"Mon, April 30",New York Knicks,94,Miami Heat,104,2012,NewYorkKnicks_MiamiHeat_2012,away_team,Miami Heat,Miami Heat,Miami Heat,New York Knicks,True
Game 3,"Thu, May 3",Miami Heat,87,New York Knicks,70,2012,NewYorkKnicks_MiamiHeat_2012,home_team,Miami Heat,Miami Heat,Miami Heat,New York Knicks,True
Game 4,"Sun, May 6",Miami Heat,87,New York Knicks,89,2012,NewYorkKnicks_MiamiHeat_2012,away_team,New York Knicks,Miami Heat,Miami Heat,New York Knicks,True
Game 5,"Wed, May 9",New York Knicks,94,Miami Heat,106,2012,NewYorkKnicks_MiamiHeat_2012,away_team,Miami Heat,Miami Heat,Miami Heat,New York Knicks,True
Game 1,"Sat, April 28",Philadelphia 76ers,91,Chicago Bulls,103,2012,Philadelphia76ers_ChicagoBulls_2012,away_team,Chicago Bulls,Philadelphia 76ers,Philadelphia 76ers,Chicago Bulls,True
Game 2,"Tue, May 1",Philadelphia 76ers,109,Chicago Bulls,92,2012,Philadelphia76ers_ChicagoBulls_2012,home_team,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,Chicago Bulls,True
Game 3,"Fri, May 4",Chicago Bulls,74,Philadelphia 76ers,79,2012,Philadelphia76ers_ChicagoBulls_2012,away_team,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,Chicago Bulls,True
Game 4,"Sun, May 6",Chicago Bulls,82,Philadelphia 76ers,89,2012,Philadelphia76ers_ChicagoBulls_2012,away_team,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,Chicago Bulls,True
Game 5,"Tue, May 8",Philadelphia 76ers,69,Chicago Bulls,77,2012,Philadelphia76ers_ChicagoBulls_2012,away_team,Chicago Bulls,Philadelphia 76ers,Philadelphia 76ers,Chicago Bulls,True
Game 6,"Thu, May 10",Chicago Bulls,78,Philadelphia 76ers,79,2012,Philadelphia76ers_ChicagoBulls_2012,away_team,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,Chicago Bulls,True
Game 1,"Sun, April 29",Los Angeles Clippers,99,Memphis Grizzlies,98,2012,LosAngelesClippers_MemphisGrizzlies_2012,home_team,Los Angeles Clippers,Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies,True
Game 2,"Wed, May 2",Los Angeles Clippers,98,Memphis Grizzlies,105,2012,LosAngelesClippers_MemphisGrizzlies_2012,away_team,Memphis Grizzlies,Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies,True
Game 3,"Sat, May 5",Memphis Grizzlies,86,Los Angeles Clippers,87,2012,LosAngelesClippers_MemphisGrizzlies_2012,away_team,Los Angeles Clippers,Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies,True
Game 4,"Mon, May 7",Memphis Grizzlies,97,Los Angeles Clippers,101,2012,LosAngelesClippers_MemphisGrizzlies_2012,away_team,Los Angeles Clippers,Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies,True
Game 5,"Wed, May 9",Los Angeles Clippers,80,Memphis Grizzlies,92,2012,LosAngelesClippers_MemphisGrizzlies_2012,away_team,Memphis Grizzlies,Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies,True
Game 6,"Fri, May 11",Memphis Grizzlies,90,Los Angeles Clippers,88,2012,LosAngelesClippers_MemphisGrizzlies_2012,home_team,Memphis Grizzlies,Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies,True
Game 7,"Sun, May 13",Los Angeles Clippers,82,Memphis Grizzlies,72,2012,LosAngelesClippers_MemphisGrizzlies_2012,home_team,Los Angeles Clippers,Los Angeles Clippers,Los Angeles Clippers,Memphis Grizzlies,True
Game 1,"Sun, April 29",Denver Nuggets,88,Los Angeles Lakers,103,2012,DenverNuggets_LosAngelesLakers_2012,away_team,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,Denver Nuggets,True
Game 2,"Tue, May 1",Denver Nuggets,100,Los Angeles Lakers,104,2012,DenverNuggets_LosAngelesLakers_2012,away_team,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,Denver Nuggets,True
Game 3,"Fri, May 4",Los Angeles Lakers,84,Denver Nuggets,99,2012,DenverNuggets_LosAngelesLakers_2012,away_team,Denver Nuggets,Los Angeles Lakers,Los Angeles Lakers,Denver Nuggets,True
Game 4,"Sun, May 6",Los Angeles Lakers,92,Denver Nuggets,88,2012,DenverNuggets_LosAngelesLakers_2012,home_team,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,Denver Nuggets,True
Game 5,"Tue, May 8",Denver Nuggets,102,Los Angeles Lakers,99,2012,DenverNuggets_LosAngelesLakers_2012,home_team,Denver Nuggets,Los Angeles Lakers,Los Angeles Lakers,Denver Nuggets,True
Game 6,"Thu, May 10",Los Angeles Lakers,96,Denver Nuggets,113,2012,DenverNuggets_LosAngelesLakers_2012,away_team,Denver Nuggets,Los Angeles Lakers,Los Angeles Lakers,Denver Nuggets,True
Game 7,"Sat, May 12",Denver Nuggets,87,Los Angeles Lakers,96,2012,DenverNuggets_LosAngelesLakers_2012,away_team,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,Denver Nuggets,True
Game 1,"Sat, April 28",Dallas Mavericks,98,Oklahoma City Thunder,99,2012,DallasMavericks_OklahomaCityThunder_2012,away_team,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,True
Game 2,"Mon, April 30",Dallas Mavericks,99,Oklahoma City Thunder,102,2012,DallasMavericks_OklahomaCityThunder_2012,away_team,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,True
Game 3,"Thu, May 3",Oklahoma City Thunder,95,Dallas Mavericks,79,2012,DallasMavericks_OklahomaCityThunder_2012,home_team,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,True
Game 4,"Sat, May 5",Oklahoma City Thunder,103,Dallas Mavericks,97,2012,DallasMavericks_OklahomaCityThunder_2012,home_team,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,True
Game 1,"Sun, April 29",Utah Jazz,91,San Antonio Spurs,106,2012,UtahJazz_SanAntonioSpurs_2012,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,True
Game 2,"Wed, May 2",Utah Jazz,83,San Antonio Spurs,114,2012,UtahJazz_SanAntonioSpurs_2012,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,True
Game 3,"Sat, May 5",San Antonio Spurs,102,Utah Jazz,90,2012,UtahJazz_SanAntonioSpurs_2012,home_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,True
Game 4,"Mon, May 7",San Antonio Spurs,87,Utah Jazz,81,2012,UtahJazz_SanAntonioSpurs_2012,home_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,True
Game 1,"Sat, April 20",Chicago Bulls,89,Brooklyn Nets,106,2013,ChicagoBulls_BrooklynNets_2013,away_team,Brooklyn Nets,Chicago Bulls,Chicago Bulls,Brooklyn Nets,True
Game 2,"Mon, April 22",Chicago Bulls,90,Brooklyn Nets,82,2013,ChicagoBulls_BrooklynNets_2013,home_team,Chicago Bulls,Chicago Bulls,Chicago Bulls,Brooklyn Nets,True
Game 3,"Thu, April 25",Brooklyn Nets,76,Chicago Bulls,79,2013,ChicagoBulls_BrooklynNets_2013,away_team,Chicago Bulls,Chicago Bulls,Chicago Bulls,Brooklyn Nets,True
Game 4,"Sat, April 27",Brooklyn Nets,134,Chicago Bulls,142,2013,ChicagoBulls_BrooklynNets_2013,away_team,Chicago Bulls,Chicago Bulls,Chicago Bulls,Brooklyn Nets,True
Game 5,"Mon, April 29",Chicago Bulls,91,Brooklyn Nets,110,2013,ChicagoBulls_BrooklynNets_2013,away_team,Brooklyn Nets,Chicago Bulls,Chicago Bulls,Brooklyn Nets,True
Game 6,"Thu, May 2",Brooklyn Nets,95,Chicago Bulls,92,2013,ChicagoBulls_BrooklynNets_2013,home_team,Brooklyn Nets,Chicago Bulls,Chicago Bulls,Brooklyn Nets,True
Game 7,"Sat, May 4",Chicago Bulls,99,Brooklyn Nets,93,2013,ChicagoBulls_BrooklynNets_2013,home_team,Chicago Bulls,Chicago Bulls,Chicago Bulls,Brooklyn Nets,True
Game 1,"Sun, April 21",Atlanta Hawks,90,Indiana Pacers,107,2013,AtlantaHawks_IndianaPacers_2013,away_team,Indiana Pacers,Indiana Pacers,Indiana Pacers,Atlanta Hawks,True
Game 2,"Wed, April 24",Atlanta Hawks,98,Indiana Pacers,113,2013,AtlantaHawks_IndianaPacers_2013,away_team,Indiana Pacers,Indiana Pacers,Indiana Pacers,Atlanta Hawks,True
Game 3,"Sat, April 27",Indiana Pacers,69,Atlanta Hawks,90,2013,AtlantaHawks_IndianaPacers_2013,away_team,Atlanta Hawks,Indiana Pacers,Indiana Pacers,Atlanta Hawks,True
Game 4,"Mon, April 29",Indiana Pacers,91,Atlanta Hawks,102,2013,AtlantaHawks_IndianaPacers_2013,away_team,Atlanta Hawks,Indiana Pacers,Indiana Pacers,Atlanta Hawks,True
